Date,Location,pH_Level,Turbidity_NTU,Viral_Load_cp_ml,Antibiotics_ng_L
2026-06-18,Surajtal,6.98,7.3,66.95,26.6
2026-06-18,Dashir,7.04,8.86,90.3,17.84
2026-06-18,Gauri Kund,7.14,5.8,87.8,15.65
2026-06-18,Suvalsar,7.2,5.14,71.73,17.8
2026-06-18,Vyas Kund,6.99,4.51,98.18,17.13
2026-06-18,Cedar Mess,7.1,11.38,70.28,25.18
2026-06-18,Maple Mess,7.48,11.29,90.03,23.7
2026-06-18,North Academic Block,7.19,7.39,70.75,18.55
2026-06-18,South Academic Block,7.52,4.52,73.21,20.35
2026-06-19,Surajtal,7.31,7.01,75.58,19.51
2026-06-19,Dashir,7.58,5.66,117.69,20.39
2026-06-19,Gauri Kund,6.88,7.6,89.22,25.9
2026-06-19,Suvalsar,7.33,7.81,89.51,17.09
2026-06-19,Vyas Kund,6.87,4.5,80.92,12.74
2026-06-19,Cedar Mess,7.4,14.54,79.23,11.65
2026-06-19,Maple Mess,6.93,11.07,92.41,15.96
2026-06-19,North Academic Block,6.94,9.27,95.72,22.67
2026-06-19,South Academic Block,7.11,6.68,96.05,16.96
2026-06-20,Surajtal,7.03,6.33,79.85,19.94
2026-06-20,Dashir,6.97,6.22,92.2,17.83
2026-06-20,Gauri Kund,7.27,6.91,86.44,20.25
2026-06-20,Suvalsar,7.22,4.76,83.39,16.71
2026-06-20,Vyas Kund,7.59,7.04,120.47,19.9
2026-06-20,Cedar Mess,6.78,13.11,107.77,18.78
2026-06-20,Maple Mess,7.07,11.94,100.3,37.52
2026-06-20,North Academic Block,6.96,7.19,70.45,2.63
2026-06-20,South Academic Block,6.97,7.05,88.57,17.09
2026-06-21,Surajtal,7.27,6.44,46.45,28.11
2026-06-21,Dashir,7.38,7.3,69.35,26.53
2026-06-21,Gauri Kund,6.88,6.71,77.97,24.53
2026-06-21,Suvalsar,7.06,4.9,109.98,20.44
2026-06-21,Vyas Kund,7.06,4.2,58.38,19.46
2026-06-21,Cedar Mess,7.23,14.42,50.07,16.51
2026-06-21,Maple Mess,7.16,11.95,102.33,19.87
2026-06-21,North Academic Block,7.18,6.84,67.2,24.3
2026-06-21,South Academic Block,7.55,6.13,73.53,14.6
2026-06-22,Surajtal,6.72,5.98,69.68,20.73
2026-06-22,Dashir,6.85,6.22,78.97,25.28
2026-06-22,Gauri Kund,7.21,8.51,64.64,21.36
2026-06-22,Suvalsar,7.35,6.72,82.93,17.53
2026-06-22,Vyas Kund,7.04,8.3,85.53,19.5
2026-06-22,Cedar Mess,7.3,9.51,81.05,12.21
2026-06-22,Maple Mess,6.88,14.18,86.2,17.1
2026-06-22,North Academic Block,7.35,7.42,85.81,21.77
2026-06-22,South Academic Block,6.96,7.16,107.47,25.6
2026-06-23,Surajtal,7.76,4.72,82.84,21.28
2026-06-23,Dashir,7.42,6.0,43.12,18.38
2026-06-23,Gauri Kund,7.59,6.2,91.33,19.46
2026-06-23,Suvalsar,7.5,5.54,90.7,13.67
2026-06-23,Vyas Kund,6.89,6.85,92.0,25.74
2026-06-23,Cedar Mess,7.41,12.5,67.72,16.44
2026-06-23,Maple Mess,6.87,9.89,94.38,17.57
2026-06-23,North Academic Block,6.79,7.34,113.45,31.75
2026-06-23,South Academic Block,6.86,3.81,91.6,20.53
2026-06-24,Surajtal,7.1,6.08,72.08,17.1
2026-06-24,Dashir,7.22,7.38,88.47,10.06
2026-06-24,Gauri Kund,7.1,9.79,82.78,16.91
2026-06-24,Suvalsar,7.29,5.96,104.62,19.85
2026-06-24,Vyas Kund,7.64,7.18,74.72,19.4
2026-06-24,Cedar Mess,7.24,11.33,96.6,24.48
2026-06-24,Maple Mess,7.25,9.82,52.83,30.52
2026-06-24,North Academic Block,6.73,5.7,104.92,24.49
2026-06-24,South Academic Block,7.01,5.76,80.09,23.29
2026-06-25,Surajtal,6.78,8.15,113.27,16.13
2026-06-25,Dashir,6.93,5.98,85.87,14.27
2026-06-25,Gauri Kund,7.15,5.15,98.13,21.41
2026-06-25,Suvalsar,7.48,6.61,99.86,24.68
2026-06-25,Vyas Kund,6.89,5.77,92.62,17.3
2026-06-25,Cedar Mess,6.43,13.11,84.56,12.41
2026-06-25,Maple Mess,7.37,14.5,87.43,12.27
2026-06-25,North Academic Block,6.94,6.1,97.43,12.07
2026-06-25,South Academic Block,7.31,5.53,72.48,22.85
2026-06-26,Surajtal,7.43,5.93,69.72,16.85
2026-06-26,Dashir,7.44,5.67,103.13,17.83
2026-06-26,Gauri Kund,7.49,6.69,66.54,26.51
2026-06-26,Suvalsar,6.93,4.14,94.07,26.58
2026-06-26,Vyas Kund,7.28,7.58,72.05,18.86
2026-06-26,Cedar Mess,6.46,13.25,67.49,33.04
